"","NO","ID","DEDO","FALANGES","MANO","Genero","mm"
"1",1,"SR","pul","dis","der","f",25
"2",2,"SR","pul","dis","izq","f",20
"3",3,"SR","pul","med","der","f",23
"4",4,"SR","pul","med","izq","f",21
"5",5,"SR","ind","dis","der","f",20
"6",6,"SR","ind","dis","izq","f",25
"7",7,"SR","ind","med","der","f",20
"8",8,"SR","ind","med","izq","f",19
"9",9,"SR","ind","pro","der","f",20
"10",10,"SR","ind","pro","izq","f",10
"11",11,"SR","med","dis","der","f",21
"12",12,"SR","med","dis","izq","f",20
"13",13,"SR","med","med","der","f",23
"14",14,"SR","med","med","izq","f",22
"15",15,"SR","med","pro","der","f",20
"16",16,"SR","med","pro","izq","f",19
"17",17,"SR","anu","dis","der","f",15
"18",18,"SR","anu","dis","izq","f",14
"19",19,"SR","anu","med","der","f",11
"20",20,"SR","anu","med","izq","f",10
"21",21,"SR","anu","pro","der","f",14
"22",22,"SR","anu","pro","izq","f",13
"23",23,"SR","men","dis","der","f",15
"24",24,"SR","men","dis","izq","f",14
"25",25,"SR","men","med","der","f",15
"26",26,"SR","men","med","izq","f",14
"27",27,"SR","men","pro","der","f",12
"28",28,"SR","men","pro","der","f",27
"29",29,"AM","pul","dis","izq","f",26
"30",30,"AM","pul","med","der","f",21
"31",31,"AM","pul","med","izq","f",20
"32",32,"AM","ind","dis","der","f",21
"33",33,"AM","ind","dis","izq","f",21
"34",34,"AM","ind","med","der","f",21
"35",35,"AM","ind","med","izq","f",20
"36",36,"AM","ind","pro","der","f",19
"37",37,"AM","ind","pro","izq","f",19
"38",38,"AM","med","dis","der","f",24
"39",39,"AM","med","dis","izq","f",23
"40",40,"AM","med","med","der","f",29
"41",41,"AM","med","med","izq","f",27
"42",42,"AM","med","pro","der","f",19
"43",43,"AM","med","pro","izq","f",20
"44",44,"AM","anu","dis","der","f",22
"45",45,"AM","anu","dis","izq","f",24
"46",46,"AM","anu","med","der","f",24
"47",47,"AM","anu","med","izq","f",24
"48",48,"AM","anu","pro","der","f",21
"49",49,"AM","anu","pro","izq","f",19
"50",50,"AM","men","dis","der","f",20
"51",51,"AM","men","dis","izq","f",21
"52",52,"AM","men","med","der","f",20
"53",53,"AM","men","med","izq","f",20
"54",54,"AM","men","pro","der","f",19
"55",55,"AM","men","pro","izq","f",19
"56",56,"GG","pul","dis","der","m",31
"57",57,"GG","pul","dis","izq","m",31
"58",58,"GG","pul","med","der","m",39
"59",59,"GG","pul","med","izq","m",39
"60",60,"GG","ind","dis","der","m",25
